code,disc_date,stock_ret,mkt_ret,short_pnl
72380,2018-05-25,-0.012987,-0.000233,0.012754
83580,2018-12-20,-0.028302,-0.035383,-0.007081
67070,2025-03-12,0.009137,0.009989,0.000852
21600,2018-01-19,-0.014713,0.006518,0.021231
17190,2017-02-03,0.010088,0.005645,-0.004444
80880,2019-07-18,-0.021622,-0.012438,0.009184
61360,2017-03-31,-0.025674,-0.007233,0.018441
14170,2018-10-30,0.022059,0.03736,0.015302
98310,2018-10-30,0.005714,0.03736,0.031646
95040,2019-02-04,-0.001363,0.013129,0.014492
80860,2019-02-13,0.003333,0.003128,-0.000205
36670,2023-10-17,0.027473,0.00111,-0.026363
36670,2023-11-13,-0.006711,-0.003771,0.00294
26670,2023-03-15,0.0,-0.017373,-0.017373
26670,2023-03-20,-0.023324,-0.000801,0.022522
26670,2023-03-27,-0.019774,0.001369,0.021143
69930,2024-08-07,0.0,0.027825,0.027825
68570,2019-04-02,0.017634,-0.012182,-0.029817
25160,2019-12-20,0.013554,0.003552,-0.010003
25160,2019-12-27,0.001447,0.003794,0.002346
25160,2020-04-03,-0.016949,-0.024837,-0.007888
25160,2020-04-24,0.003442,0.00694,0.003498
25160,2020-06-04,-0.036223,-0.008177,0.028045
25160,2020-06-17,-0.005063,0.000972,0.006035
25160,2020-07-01,-0.01938,-0.012547,0.006833
25160,2020-10-15,-0.019342,-0.010379,0.008964
25160,2020-10-16,-0.004931,-0.007019,-0.002088
25160,2020-12-03,-0.038579,9.4e-05,0.038673
25160,2020-12-14,-0.001098,0.005006,0.006104
25160,2020-12-15,-0.013187,0.001151,0.014338
25160,2020-12-16,-0.020045,-0.003127,0.016917
25160,2020-12-17,0.034091,-0.002102,-0.036193
25160,2020-12-24,0.022805,0.006405,-0.0164
25160,2021-01-13,0.016043,0.003943,-0.0121
25160,2021-01-15,-0.018124,-0.008988,0.009135
25160,2021-01-25,0.0,0.003351,0.003351
25160,2021-01-29,-0.030623,-0.017844,0.012779
25160,2021-02-05,-0.006186,0.008823,0.015008
25160,2021-02-16,-0.009881,-0.003488,0.006394
50210,2019-04-04,-0.013564,0.000844,0.014407
31510,2019-11-01,0.020985,0.012114,-0.008872
31510,2019-11-18,0.001838,0.003358,0.00152
68770,2020-11-02,0.022099,0.015189,-0.00691
78210,2021-05-19,-0.004304,0.005541,0.009845
82330,2023-10-05,0.022654,0.013026,-0.009628
28740,2017-01-13,0.004883,0.006348,0.001465
70030,2017-03-10,-0.005291,-6.5e-05,0.005226
28740,2017-07-05,0.007605,0.006305,-0.001299
40460,2017-07-05,-0.005435,0.006305,0.01174
61350,2017-07-05,0.00863,0.006305,-0.002325
40460,2017-09-15,0.02627,0.017698,-0.008572
72460,2017-11-13,-0.002878,-0.005712,-0.002834
84180,2017-12-12,0.013177,0.001164,-0.012013
84730,2018-08-06,0.026962,-0.007349,-0.034311
70030,2018-08-09,0.002388,-0.000987,-0.003375
19280,2019-04-05,0.002177,0.006943,0.004766
31050,2019-04-05,0.013592,0.006943,-0.006649
33820,2019-04-05,0.010463,0.006943,-0.00352
33910,2019-04-05,-0.008574,0.006943,0.015517
34050,2019-04-05,0.020325,0.006943,-0.013382
41510,2019-04-05,-0.006383,0.006943,0.013326
43240,2019-04-05,0.003191,0.006943,0.003751
45190,2019-04-05,-0.013764,0.006943,0.020706
47040,2019-04-05,0.003683,0.006943,0.00326
49110,2019-04-05,-0.011654,0.006943,0.018597
51010,2019-04-05,0.006916,0.006943,2.7e-05
52140,2019-04-05,0.007937,0.006943,-0.000994
63610,2019-04-05,0.022901,0.006943,-0.015958
72720,2019-04-05,0.059976,0.006943,-0.053033
73090,2019-04-05,-0.006169,0.006943,0.013112
74530,2019-04-05,-0.013853,0.006943,0.020796
75320,2019-04-05,-0.007102,0.006943,0.014045
82670,2019-04-05,-0.017993,0.006943,0.024936
99830,2019-04-05,0.012502,0.006943,-0.005559
77520,2019-08-14,-0.014085,-0.019867,-0.005782
82530,2019-08-14,-0.027546,-0.019867,0.007679
19280,2019-10-01,0.002342,0.000739,-0.001603
22820,2019-10-01,0.008055,0.000739,-0.007316
25020,2019-10-01,0.0,0.000739,0.000739
25030,2019-10-01,0.006565,0.000739,-0.005825
33820,2019-10-01,-0.006286,0.000739,0.007025
34050,2019-10-01,0.0,0.000739,0.000739
41510,2019-10-01,-0.016795,0.000739,0.017534
43240,2019-10-01,0.005291,0.000739,-0.004552
44520,2019-10-01,0.004868,0.000739,-0.004129
45780,2019-10-01,0.033663,0.000739,-0.032924
47040,2019-10-01,0.001927,0.000739,-0.001188
72610,2019-10-01,0.008497,0.000739,-0.007758
77330,2019-10-01,-0.006892,0.000739,0.007631
77520,2019-10-01,0.005149,0.000739,-0.00441
82670,2019-10-01,0.011036,0.000739,-0.010296
87950,2019-10-01,0.012987,0.000739,-0.012248
95010,2019-10-01,-0.01306,0.000739,0.013799
99830,2019-10-01,-0.012615,0.000739,0.013354
69760,2019-10-18,0.032045,0.00131,-0.030735
63050,2019-12-18,-0.015106,-0.005741,0.009365
67620,2019-12-18,-0.003269,-0.005741,-0.002472
69710,2019-12-18,-0.005334,-0.005741,-0.000407
79510,2019-12-18,0.01635,-0.005741,-0.022091
80350,2019-12-18,-0.010765,-0.005741,0.005024
